game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
3V0sW8tf,0,0,0,0,0,0,0,0,0,0
q8T7WJxQ,0,0,0,0,0,0,1,0,0,0
9YbP9YwA,0,0,0,0,0,0,0,0,0,0
YiNMLNGe,0,1,0,0,0,0,0,0,0,0
DIaiFY31,1,0,0,0,0,0,0,0,0,0
K3f5S9ia,0,0,0,0,0,1,0,0,0,0
oHrmuWyr,0,0,0,0,0,0,0,0,0,0
L7NHZKaG,0,0,0,0,0,0,0,0,0,0
KX7BFM5m,0,0,0,0,0,0,0,0,0,0
Ke0UHI5I,0,0,0,0,0,0,1,0,0,0
VY9G8h1m,0,0,0,0,0,0,0,0,0,0
LS4RMDpe,0,0,0,0,0,0,0,0,0,0
1e4niPaR,0,0,0,0,0,0,0,0,0,0
TESBQ2sX,0,0,0,0,0,1,0,0,0,0
TnjWrqbU,0,0,0,0,0,0,0,0,0,0
IF4gZmmC,0,0,0,0,0,1,0,0,0,0
jnTsgyTM,0,0,0,0,0,0,0,0,0,0
h0FdApaR,0,0,0,0,0,1,0,0,0,0
EFZgd8oI,0,0,0,0,0,0,0,0,0,0
leo1zOKV,0,0,0,0,0,0,0,0,0,0
DwRtleWc,0,0,0,0,0,0,0,0,0,0
HWSJ3f4j,0,0,0,0,0,1,0,0,0,0
uU4fXHu9,1,0,0,0,0,0,0,0,0,0
soDo4VE4,0,0,0,0,0,0,0,0,0,0
pfc2ImAB,1,0,0,0,0,0,0,0,0,0
cxD7gzWt,1,0,0,0,0,0,0,0,0,0
i9ys4Ygg,0,0,0,0,0,0,0,0,0,0
LViMedKO,0,0,0,0,0,0,0,0,0,0
q2ozoGp9,0,0,0,0,0,0,0,0,0,0
f8wYX7hz,0,0,0,0,0,0,0,0,0,0
WWeYP7fa,0,0,0,0,0,1,0,0,0,0
6zUa3HAE,0,1,0,0,0,0,0,0,0,0
s3CeEQvz,0,0,0,0,0,0,0,0,0,0
WYl1FChP,0,0,0,0,0,0,0,0,0,0
J5EIL5l9,0,0,0,0,0,0,0,0,0,0
t0Iymhre,0,0,0,0,0,0,0,0,0,0
59XhCtgx,0,0,0,0,1,0,0,0,0,0
